stationNumber;stationName;province;latitude;longitude;levitation
54602;保定;河北;3851;11531;172
54606;饶阳;河北;3814;11544;190
54616;沧洲;河北;3820;11650;96
54618;泊头;河北;3805;11633;132
54624;黄骅;河北;3822;11721;66
54705;南宫;河北;3722;11523;274
53898;安阳;河南;3603;11424;629
53986;新乡;河南;3519;11353;732
57051;三门峡;河南;3448;11112;4099
57067;卢氏;河南;3403;11102;5688
57071;孟津;河南;3449;11226;3333
57073;洛阳;河南;3438;11228;1371
57077;栾川;河南;3347;11136;7503
57083;郑州;河南;3443;11339;1104
57089;许昌;河南;3402;11352;668
57091;开封;河南;3447;11418;737
57156;西峡;河南;3318;11130;2503
57178;南阳;河南;3302;11235;1292
57181;宝丰;河南;3353;11303;1364
57193;西华;河南;3347;11431;526
57290;驻马店;河南;3300;11401;827
57297;信阳;河南;3208;11403;1145
58005;尚丘;河南;3427;11540;501
58208;固始;河南;3210;11537;429
50136;漠河;黑龙江;5258;12231;4330
50246;塔河;黑龙江;5221;12443;3619
50349;新林;黑龙江;5142;12420;4946
50353;呼玛;黑龙江;5143;12639;1774
50442;大兴安岭;黑龙江;5024;12407;3717
50468;黑河;黑龙江;5015;12727;1664
50557;嫩江;黑龙江;4910;12514;2422
50564;孙吴;黑龙江;4926;12721;2345
50656;北安;黑龙江;4817;12631;2697
50658;克山;黑龙江;4803;12553;2346
50742;富裕;黑龙江;4748;12429;1627
50745;齐齐哈尔;黑龙江;4723;12355;1471
50756;海伦;黑龙江;4726;12658;2392
50758;明水;黑龙江;4710;12554;2472
50774;伊春;黑龙江;4744;12855;2409
50775;鹤岗;黑龙江;4720;13016;2279
50788;富锦;黑龙江;4714;13159;664
50844;泰来;黑龙江;4624;12325;1495
50853;绥化;黑龙江;4637;12658;1796
50854;安达;黑龙江;4623;12519;1493
50862;铁力;黑龙江;4659;12801;2105
50873;佳木斯;黑龙江;4649;13017;812
50877;依兰;黑龙江;4618;12935;1001
50888;宝清;黑龙江;4619;13211;830
50950;肇州;黑龙江;4542;12515;1487
50953;哈尔滨;黑龙江;4545;12646;1423
50963;通河;黑龙江;4558;12844;1086
50968;尚志;黑龙江;4513;12758;1897
50978;鸡西;黑龙江;4518;13056;2808
50983;虎林;黑龙江;4546;13258;1002
54094;牡丹江;黑龙江;4434;12936;2414
54096;绥芬河;黑龙江;4423;13110;5678
57251;陨西;湖北;3300;11025;2491
57253;陨县;湖北;3251;11049;2019
57259;房县;湖北;3202;11046;4269
57265;老河口;湖北;3223;11140;900
57279;枣阳;湖北;3209;11245;1255
57355;巴东;湖北;3102;11022;3340
57378;钟祥;湖北;3110;11234;658
57385;广水;湖北;3137;11349;933
57399;麻城;湖北;3111;11501;593
57447;恩施;湖北;3017;10928;4571
57451;绿葱坡;湖北;3047;11014;18193
57458;五峰;湖北;3012;11040;6199
57461;宜昌;湖北;3042;11118;1331
57462;三峡;湖北;3052;11105;1399
57476;荆州;湖北;3021;11209;322
57483;天门;湖北;3040;11310;341
57494;武汉;湖北;3037;11408;231
57545;来风;湖北;2931;10925;4595
57583;嘉鱼;湖北;2959;11355;360
58402;英山;湖北;3044;11540;1238
58407;黄石;湖北;3014;11502;322
57554;桑植;湖南;2924;11010;3222
57562;石门;湖南;2935;11122;1169
57574;南县;湖南;2922;11224;360
57584;岳阳;湖南;2923;11305;530
57649;吉首;湖南;2819;10944;2084
57655;沅陵;湖南;2828;11024;1516
57662;常德;湖南;2903;11141;350
57669;安化;湖南;2823;11113;1283
57671;沅江;湖南;2851;11222;370
57679;长沙;湖南;2812;11305;449
57682;平江;湖南;2843;11334;1063
57687;长沙;湖南;2813;11255;680
57745;芷江;湖南;2727;10941;2722
57765;雪峰山;湖南;2720;11025;14049
57766;邵阳;湖南;2714;11128;2486
57774;双峰;湖南;2727;11210;1000
57776;南岳;湖南;2718;11242;12659
57780;株洲;湖南;2752;11310;746
57845;通道;湖南;2610;10947;3975
57853;武冈;湖南;2644;11038;3410
57866;零陵;湖南;2614;11137;1726
57872;衡阳;湖南;2654;11236;1049
57874;常宁;湖南;2625;11224;1166
57965;道县;湖南;2532;11136;1922
57972;郴州;湖南;2548;11302;1849
50936;白城;吉林;4538;12250;1553
50948;乾安;吉林;4500;12401;1463
50949;前郭尔罗斯;吉林;4505;12452;1362
54041;通榆;吉林;4447;12304;1495
54049;长岭;吉林;4415;12358;1889
54063;三岔河;吉林;4458;12600;1968
54142;双辽;吉林;4330;12332;1149
54157;四平;吉林;4310;12420;1657
54161;长春;吉林;4354;12513;2368
54169;烟筒山;吉林;4318;12601;2716
54171;永吉;吉林;4342;12631;2295
54172;吉林;吉林;4357;12628;1834
54181;蛟河;吉林;4342;12720;2950
54186;敦化;吉林;4322;12812;5249
54192;罗子河;吉林;4342;13015;4668
54195;汪清;吉林;4318;12947;2448
54263;盘石;吉林;4258;12603;3367
54266;梅河口;吉林;4232;12538;3405
54273;桦甸;吉林;4259;12645;2633
54276;靖宇;吉林;4221;12649;5492
54284;东岗;吉林;4206;12734;7742
54285;松江;吉林;4232;12815;5914
54287;天池;吉林;4201;12805;26230
54292;延吉;吉林;4252;12930;2573
54363;通化;吉林;4141;12554;4029
54374;临江;吉林;4148;12655;3327
54377;集安;吉林;4106;12609;1777
54386;长白;吉林;4125;12811;7750
58027;徐州;江苏;3417;11709;412
58040;赣榆;江苏;3450;11907;33
58138;盱眙;江苏;3259;11831;408
58141;淮安;江苏;3338;11901;144
58144;淮阴(清江);江苏;3336;11902;175
58150;射阳;江苏;3346;12015;20
58238;南京;江苏;3200;11848;71
58241;高邮;江苏;3248;11927;54
58251;东台;江苏;3252;12019;43
58259;南通;江苏;3159;12053;61
58265;吕泗;江苏;3204;12136;55
58343;常州;江苏;3153;11959;44
58345;溧阳;江苏;3126;11929;77
58358;吴县东山;江苏;3104;12026;175
57598;修水;江西;2902;11435;1468
57793;宜春;江西;2748;11423;1313
57799;吉安;江西;2703;11455;712
57883;宁岗;江西;2643;11358;2631
57894;井冈山;江西;2635;11410;8430
57896;遂川;江西;2620;11430;1261
57993;赣州;江西;2552;11500;1375
58502;九江;江西;2944;11600;361
58506;庐山;江西;2935;11559;11645
58519;波阳;江西;2900;11641;401
58527;景德镇;江西;2918;11712;615
58606;南昌;江西;2836;11555;469
58608;樟树;江西;2804;11533;304
58626;贵溪;江西;2818;11713;512
58634;玉山;江西;2841;11815;1163
58715;南城;江西;2735;11639;808
58813;广昌;江西;2651;11620;1438
59102;寻鸟;江西;2457;11539;3039
54236;彰武;辽宁;4225;12232;794
54237;阜新;辽宁;4205;12143;1678
54254;开原;辽宁;4232;12403;982
54259;清原;辽宁;4206;12455;2372
54324;朝阳;辽宁;4133;12027;1699
54326;叶柏寿;辽宁;4123;11942;4220
54333;新民;辽宁;4159;12250;307
54335;黑山;辽宁;4141;12205;375
54337;锦州;辽宁;4108;12107;659
54339;鞍山;辽宁;4105;12300;773
54342;沈阳;辽宁;4144;12331;490
54346;本溪;辽宁;4119;12347;1854
54351;章党;辽宁;4155;12405;1185
54365;桓仁;辽宁;4117;12521;2455
54454;绥中;辽宁;4021;12021;153
54455;兴城;辽宁;4035;12042;105
54471;营口;辽宁;4039;12210;38
54476;熊岳;辽宁;4010;12209;204
54483;草河口;辽宁;4053;12354;2334
54486;岫岩;辽宁;4017;12317;798
54493;宽甸;辽宁;4043;12447;2601
54497;丹东;辽宁;4003;12420;138
54563;瓦房店;辽宁;3938;12201;1187
54575;皮口;辽宁;3925;12222;432
54579;长海;辽宁;3916;12235;355
54584;庄河;辽宁;3943;12257;348
54662;大连;辽宁;3854;12138;915
50425;额尔古纳右旗;内蒙古;5015;12011;5814
50434;图里河;内蒙古;5029;12141;7326
50514;满洲里;内蒙古;4934;11726;6617
50527;海拉尔;内蒙古;4913;11945;6102
50548;小二沟;内蒙古;4912;12343;2861
50603;新巴尔虎右旗;内蒙古;4840;11649;5542
50618;新巴尔虎左旗;内蒙古;4813;11816;6420
50632;博克图;内蒙古;4846;12155;7397
50639;扎兰屯;内蒙古;4800;12244;3065
50727;阿尔山;内蒙古;4710;11956;9972
50834;索伦;内蒙古;4636;12113;4997
50838;乌兰浩特;内蒙古;4605;12203;2747
50915;东乌珠穆沁旗;内蒙古;4531;11658;8389
52267;额济纳旗;内蒙古;4157;10104;9405
52343;吉诃德;内蒙古;4156;9954;9656
52378;拐子湖;内蒙古;4122;10222;9600
52495;巴音毛道;内蒙古;4010;10448;13239
52576;阿拉善右旗;内蒙古;3913;10141;15101
53068;二连浩特;内蒙古;4339;11158;9647
53083;那仁宝力格;内蒙古;4437;11409;11816
53149;满都拉;内蒙古;4232;11008;12252
53192;阿巴嘎旗;内蒙古;4401;11457;11261
53195;苏尼特左旗;内蒙古;4352;11338;10367
53231;海力素;内蒙古;4124;10624;15096
53276;朱日和;内蒙古;4224;11254;11508
53336;乌拉特中旗;内蒙古;4134;10831;12880
53352;达尔罕联合旗;内蒙古;4142;11026;13766
53362;四子王旗;内蒙古;4132;11141;14901
53391;化德;内蒙古;4154;11400;14827
53420;杭锦后旗;内蒙古;4054;10708;10567
53446;包头;内蒙古;4040;10951;10672
53463;呼和浩特;内蒙古;4049;11141;10630
53480;集宁;内蒙古;4102;11304;14193
53502;吉兰太;内蒙古;3947;10545;10318
53513;临河;内蒙古;4045;10725;10393
53529;鄂托克旗;内蒙古;3906;10759;13803
53543;东胜;内蒙古;3950;10959;14619
53545;伊金霍洛旗;内蒙古;3934;10944;13293
53602;阿拉善左旗;内蒙古;3850;10540;15614
54012;西乌珠穆沁旗;内蒙古;4435;11736;10006
54026;扎鲁特旗;内蒙古;4434;12054;2650
54027;巴林左旗;内蒙古;4359;11924;4862
54102;锡林浩特;内蒙古;4357;11607;10030
54115;林西;内蒙古;4336;11804;7995
54134;开鲁;内蒙古;4336;12117;2410
54135;通辽;内蒙古;4336;12216;1787
54208;多伦;内蒙古;4211;11628;12454
54213;翁牛特旗;内蒙古;4256;11901;6343
54218;赤峰;内蒙古;4216;11856;5680
54226;宝国图;内蒙古;4220;12042;4005
53519;惠农;宁夏;3913;10646;10925
53614;银川;宁夏;3829;10613;11114
53615;陶乐;宁夏;3848;10642;11016
53704;中卫;宁夏;3732;10511;12257
53705;中宁;宁夏;3729;10541;11834
53723;盐池;宁夏;3748;10723;13493
53806;海源;宁夏;3634;10539;18542
53810;同心;宁夏;3658;10554;13393
53817;固原;宁夏;3600;10616;17530
53903;西吉;宁夏;3558;10543;19165
51886;茫崖;青海;3815;9051;29448
52602;冷湖;青海;3845;9320;27700
52633;托勒;青海;3848;9825;33670
52645;野牛沟;青海;3825;9935;83200
52657;祁连;青海;3811;10015;27874
52707;小灶火;青海;3648;9341;27670
52713;大柴旦;青海;3751;9522;31732
52737;德令哈;青海;3722;9722;29815
52754;刚察;青海;3720;10008;83015
52765;门源;青海;3723;10137;78500
52818;格尔木;青海;3625;9454;28076
52825;诺木洪;青海;3626;9625;27904
52833;乌兰;青海;3655;9829;79500
52836;都兰;青海;3618;9806;31911
52842;茶卡;青海;3647;9905;30876
52856;恰卜恰;青海;3616;10037;28350
52866;西宁;青海;3643;10145;22952
52868;贵州;青海;3602;10126;22371
52876;民和;青海;3619;10251;18139
52908;伍道梁;青海;3513;9305;46122
52943;兴海;青海;3535;9959;33232
52955;贵南;青海;3535;10045;81200
52957;同德;青海;3516;10039;32894
52968;泽库;青海;3502;10128;36628
52974;同仁;青海;3531;10201;24914
56004;托托河;青海;3413;9226;45331
56016;治多;青海;3351;9536;41790
56018;杂多;青海;3254;9518;40664
56021;曲麻莱;青海;3408;9547;41750
56029;玉树;青海;3301;9701;36812
56033;玛多;青海;3455;9813;42723
56034;清水河;青海;3348;9708;44154
56041;中心站;青海;3416;9912;42111
56043;果洛;青海;3428;10015;37190
56046;达日;青海;3345;9939;39675
56065;河南;青海;3444;10136;85000
56067;久治;青海;3326;10129;36285
56125;囊谦;青海;3212;9629;36437
56151;班玛;青海;3256;10045;85300
54714;德州;山东;3726;11619;212
54715;陵县;山东;3720;11634;186
54725;惠民县;山东;3729;11732;117
54736;东营;山东;3726;11840;60
54744;垦利;山东;3736;11832;85
54751;长岛;山东;3756;12043;397
54753;龙口;山东;3737;12019;48
54764;福山;山东;3730;12115;326
54765;烟台;山东;3732;12124;467
54774;威海;山东;3728;12208;654
54776;成山头;山东;3724;12241;477
54808;朝阳;山东;3614;11540;378
54823;济南;山东;3636;11703;1703
54824;淄川;山东;3638;11757;950
54826;泰山;山东;3615;11706;15337
54827;泰安;山东;3610;11709;1288
54830;淄博;山东;3650;11800;340
54836;沂源;山东;3611;11809;3051
54843;潍坊;山东;3645;11911;222
54852;莱阳;山东;3658;12044;544
54857;青岛;山东;3604;12020;760
54863;海阳;山东;3646;12111;409
54868;千里岩;山东;3616;12123;705
54871;石岛;山东;3655;12226;48
54906;荷泽;山东;3515;11526;497
54909;定陶;山东;3506;11533;505
54916;兖州;山东;3534;11651;517
54929;费县;山东;3515;11757;1212
54936;莒县;山东;3535;11850;1074
54938;临沂;山东;3503;11821;879
54945;日照;山东;3526;11932;369
54952;朝连岛;山东;3553;12051;445
53478;右玉;山西;4000;11227;13458
53487;大同;山西;4006;11320;10672
53564;河曲;山西;3923;11109;8615
53588;五台山;山西;3857;11331;22083
53663;五寨;山西;3855;11149;14010
53664;兴县;山西;3828;11108;10126
53673;原平;山西;3844;11243;8282
53764;离石;山西;3730;11106;9508
53772;太原;山西;3747;11233;7783
53782;阳泉;山西;3751;11333;7419
53787;榆社;山西;3704;11259;10414
53853;隰县;山西;3642;11057;10527
53863;介休;山西;3702;11155;7439
53868;临汾;山西;3604;11130;4495
53882;长治;山西;3603;11304;9918
53887;晋东南;山西;3612;11307;9265
53959;运城;山西;3503;11103;3650
53963;侯马;山西;3539;11122;4338
53975;阳城;山西;3529;11224;6595
53646;榆林;陕西;3816;10947;11570
53725;定边;陕西;3735;10735;13603
53738;吴旗;陕西;3655;10810;13314
53740;横山;陕西;3756;10914;11110
53754;绥德;陕西;3730;11013;9297
53845;延安;陕西;3636;10930;9585
53929;长武;陕西;3512;10748;12065
53942;洛川;陕西;3549;10930;11598
53947;铜川;陕西;3505;10904;9789
57016;宝鸡;陕西;3421;10708;6124
57025;凤翔;陕西;3431;10723;7811
57034;武功;陕西;3415;10813;4478
57036;西安;陕西;3418;10856;3975
57037;耀县;陕西;3456;10859;7100
57046;华山;陕西;3429;11005;20649
57106;略阳;陕西;3319;10609;7942
57127;汉中;陕西;3304;10702;5095
57131;泾河;陕西;3426;10858;4100
57134;佛坪;陕西;3331;10759;8272
57143;商州;陕西;3352;10958;7422
57144;镇安;陕西;3326;10909;6937
